#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P22.ver1.0.g327520.p01          -          LRR_6                PF13516.12   6.1e-22   75.0  64.0      0.11   11.7   0.1  18.7  16   3   3  19  19  10   3 | SP
VITVvi_vZin03_v1.1_H000152F_005.ver1.0.g151210.p01 -          LRR_6                PF13516.12   0.00013   20.8  15.8      0.61    9.4   0.0   7.1   8   0   0   8   8   2   0 | SP
VITVvi_vZin03_v1.1_H000051F_004.ver1.0.g090350.p01 -          LRR_6                PF13516.12   0.00014   20.8   7.7       1.5    8.2   0.2   4.8   4   0   0   4   4   2   0 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g343230.p01          -          LRR_6                PF13516.12   0.00014   20.7   7.7       1.5    8.2   0.2   4.8   4   0   0   4   4   2   0 | SP+TM
VITVvi_vZin03_v1.1_H000023F_021.ver1.0.g057950.p01 -          LRR_6                PF13516.12   0.00014   20.7  25.9      0.63    9.3   0.0   9.6  11   0   0  11  11   2   0 | SP
VITVvi_vZin03_v1.1_P119.ver1.0.g232200.p01         -          LRR_6                PF13516.12   0.00015   20.6 127.8      0.95    8.7   0.2  27.6  31   1   1  32  32   7   0 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439330.p01          -          LRR_6                PF13516.12   0.00015   20.6   0.6     0.099   11.8   0.0   3.9   4   0   0   4   4   1   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g255960.p01          -          LRR_6                PF13516.12   0.00016   20.6   6.0      0.22   10.7   0.1   3.6   3   0   0   3   3   2   1 | TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341390.p01         -          LRR_6                PF13516.12   0.00016   20.5   0.3   0.00016   20.5   0.3  12.0  15   0   0  15  15   3   1 | TM
VITVvi_vZin03_v1.1_H000037F_018.ver1.0.g074900.p01 -          LRR_6                PF13516.12   0.00018   20.4  36.6       1.1    8.6   0.0  10.5  11   0   0  11  11   3   0 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256150.p01          -          LRR_6                PF13516.12   0.00018   20.4   7.4      0.22   10.7   1.2   3.8   3   0   0   3   3   2   1 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162320.p01 -          LRR_6                PF13516.12   0.00019   20.3  55.0      0.62    9.3   0.0  16.6  19   0   0  19  19   2   0 | TM
VITVvi_vZin03_v1.1_P779.ver1.0.g498650.p01         -          LRR_6                PF13516.12    0.0002   20.3  16.1     0.039   13.1   0.1   6.3   6   0   0   6   6   2   1 | TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338600.p01         -          LRR_6                PF13516.12    0.0002   20.3  96.3       1.2    8.4   0.2  23.3  27   0   0  27  27   7   0 | SP+TM
VITVvi_vZin03_v1.1_H000001F_003.ver1.0.g002250.p01 -          LRR_6                PF13516.12    0.0002   20.2   9.6     0.011   14.8   0.0   6.5   7   0   0   7   7   1   1 | TM
VITVvi_vZin03_v1.1_P2.ver1.0.g314670.p01           -          LRR_6                PF13516.12    0.0002   20.2   9.6     0.011   14.8   0.0   6.5   7   0   0   7   7   1   1 | TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076650.p01 -          LRR_6                PF13516.12   0.00022   20.1  34.9      0.14   11.4   0.5  10.5  12   0   0  12  12   3   1 | SP+TM
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040840.p01 -          LRR_6                PF13516.12   0.00023   20.1   7.3      0.22   10.7   0.1   3.6   3   0   0   3   3   2   1 | TM
VITVvi_vZin03_v1.1_H000026F_002.ver1.0.g061810.p01 -          LRR_6                PF13516.12   0.00023   20.0   0.3       5.1    6.5   0.0   4.4   4   0   0   4   4   1   0 | SP
VITVvi_vZin03_v1.1_P30.ver1.0.g369600.p01          -          LRR_6                PF13516.12   0.00023   20.0   0.3       5.1    6.5   0.0   4.4   4   0   0   4   4   1   0 | SP
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040880.p01 -          LRR_6                PF13516.12   0.00023   20.0   4.8      0.68    9.2   0.3   4.2   3   0   0   3   3   2   0 | TM
VITVvi_vZin03_v1.1_H000010F_003.ver1.0.g034000.p01 -          LRR_6                PF13516.12   0.00024   20.0 101.3      0.42    9.9   0.3  20.2  23   0   0  23  23   8   2 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251720.p01         -          LRR_6                PF13516.12   0.00024   20.0  68.4       4.1    6.8   0.0  17.6  19   0   0  19  19   4   0 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g255980.p01          -          LRR_6                PF13516.12   0.00027   19.8   5.3      0.38   10.0   0.1   3.6   3   0   0   3   3   2   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g255970.p01          -          LRR_6                PF13516.12   0.00027   19.8   3.5      0.67    9.2   0.1   3.9   3   0   0   3   3   2   0 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327600.p01          -          LRR_6                PF13516.12   0.00029   19.7  86.7      0.47    9.7   0.5  20.9  24   0   0  24  24   4   1 | SP+TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390290.p01          -          LRR_6                PF13516.12   0.00029   19.7  35.3      0.14   11.4   0.5  10.5  12   0   0  12  12   3   1 | SP+TM
VITVvi_vZin03_v1.1_P830.ver1.0.g509660.p01         -          LRR_6                PF13516.12    0.0003   19.7  20.5         1    8.7   0.5   7.9   9   0   0   9   9   3   0 | SP
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053940.p01 -          LRR_6                PF13516.12   0.00031   19.7  86.7      0.47    9.7   0.5  20.9  24   0   0  24  24   4   1 | SP+TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118330.p01 -          LRR_6                PF13516.12   0.00034   19.5  65.0      0.33   10.2   0.8  18.1  22   0   0  22  22   5   1 | SP
VITVvi_vZin03_v1.1_P368.ver1.0.g393070.p01         -          LRR_6                PF13516.12   0.00034   19.5  25.9      0.43    9.8   0.1   7.7   8   0   0   8   8   4   1 | TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411670.p01          -          LRR_6                PF13516.12   0.00034   19.5  25.9      0.43    9.8   0.1   7.7   8   0   0   8   8   4   1 | TM
VITVvi_vZin03_v1.1_P89.ver1.0.g519140.p01          -          LRR_6                PF13516.12   0.00034   19.5  87.6      0.66    9.2   0.2  22.3  25   0   0  25  25   6   0 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491690.p01          -          LRR_6                PF13516.12   0.00034   19.5   0.1   0.00034   19.5   0.1  18.9  24   0   0  24  24   4   1 | SP+TM
VITVvi_vZin03_v1.1_P572.ver1.0.g463470.p01         -          LRR_6                PF13516.12   0.00035   19.5  90.9      0.32   10.2   0.1  19.9  24   0   0  24  24   7   2 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439500.p01          -          LRR_6                PF13516.12   0.00037   19.4   6.4       1.1    8.5   0.0   6.1   6   0   0   6   6   1   0 | TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_6                PF13516.12   0.00037   19.4 186.5      0.46    9.7   0.0  37.8  45   0   0  45  45  13   1 | TM
VITVvi_vZin03_v1.1_P193.ver1.0.g307010.p01         -          LRR_6                PF13516.12   0.00039   19.3  14.0      0.84    8.9   0.3   5.6   5   0   0   5   5   2   0 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364070.p01         -          LRR_6                PF13516.12   0.00039   19.3  35.4       3.6    6.9   0.3  11.1  11   0   0  11  11   3   0 | SP+TM
VITVvi_vZin03_v1.1_P88.ver1.0.g518590.p01          -          LRR_6                PF13516.12   0.00039   19.3  14.0      0.84    8.9   0.3   5.6   5   0   0   5   5   2   0 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g255910.p01          -          LRR_6                PF13516.12    0.0004   19.3   2.6       0.7    9.2   0.7   2.9   2   0   0   2   2   2   0 | TM
VITVvi_vZin03_v1.1_P44.ver1.0.g426360.p01          -          LRR_6                PF13516.12   0.00041   19.3   2.4     0.049   12.8   0.1   4.0   3   0   0   3   3   1   1 | TM
VITVvi_vZin03_v1.1_H000139F_004.ver1.0.g144560.p01 -          LRR_6                PF13516.12   0.00041   19.3   0.1        11    5.5   0.0   5.4   5   0   0   5   5   1   0 | SP
VITVvi_vZin03_v1.1_H000183F_001.ver1.0.g162760.p01 -          LRR_6                PF13516.12   0.00041   19.3   8.2         2    7.8   0.0   4.7   4   0   0   4   4   2   0 | SP+TM
VITVvi_vZin03_v1.1_P119.ver1.0.g232260.p01         -          LRR_6                PF13516.12   0.00042   19.2   0.1        11    5.5   0.0   5.4   5   0   0   5   5   1   0 | SP
VITVvi_vZin03_v1.1_P155.ver1.0.g273990.p01         -          LRR_6                PF13516.12   0.00042   19.2   8.2         2    7.8   0.0   4.6   4   0   0   4   4   2   0 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162250.p01 -          LRR_6                PF13516.12   0.00043   19.2  62.4      0.63    9.3   0.4  15.7  18   0   0  18  18   4   0 | SP+TM
VITVvi_vZin03_v1.1_P77.ver1.0.g498080.p01          -          LRR_6                PF13516.12   0.00043   19.2  13.9         1    8.7   0.0   7.1   7   0   0   7   7   1   0 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256000.p01          -          LRR_6                PF13516.12   0.00046   19.1   4.8      0.83    8.9   0.3   4.0   3   0   0   3   3   2   0 | SP+TM
VITVvi_vZin03_v1.1_P518.ver1.0.g450240.p01         -          LRR_6                PF13516.12   0.00048   19.1  26.8      0.18   11.0   0.4   7.0   8   0   0   8   8   3   2 | SP
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162450.p01 -          LRR_6                PF13516.12   0.00052   18.9  39.2      0.47    9.7   0.0  13.1  15   0   0  15  15   1   1 | TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240610.p01         -          LRR_6                PF13516.12   0.00052   18.9  41.5      0.39   10.0   0.2  10.9  14   0   0  14  14   4   1 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256030.p01          -          LRR_6                PF13516.12   0.00054   18.9   8.5      0.32   10.2   0.3   4.4   4   0   0   4   4   2   2 | TM
VITVvi_vZin03_v1.1_H000373F_003.ver1.0.g190780.p01 -          LRR_6                PF13516.12   0.00063   18.7   3.2      0.58    9.4   0.0   4.2   3   0   0   3   3   2   1 | TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491620.p01          -          LRR_6                PF13516.12   0.00063   18.7  86.3      0.85    8.9   0.4  20.7  24   0   0  24  24   5   0 | SP+TM
VITVvi_vZin03_v1.1_H000153F_001.ver1.0.g152070.p01 -          LRR_6                PF13516.12   0.00073   18.5   5.8       1.1    8.5   0.0   4.5   5   0   0   5   5   2   0 | SP+TM
VITVvi_vZin03_v1.1_P37.ver1.0.g394480.p01          -          LRR_6                PF13516.12   0.00077   18.4  11.3      0.45    9.8   0.1   5.0   5   0   0   5   5   2   1 | TM
VITVvi_vZin03_v1.1_P122.ver1.0.g239370.p01         -          LRR_6                PF13516.12   0.00077   18.4   6.5     0.021   14.0   0.1   4.2   4   0   0   4   4   1   1 | TM
VITVvi_vZin03_v1.1_P50.ver1.0.g446820.p01          -          LRR_6                PF13516.12   0.00077   18.4   7.5       7.2    6.0   0.1   4.8   5   0   0   5   5   3   0 | TM
VITVvi_vZin03_v1.1_P155.ver1.0.g274350.p01         -          LRR_6                PF13516.12   0.00079   18.4   8.1     0.086   12.0   0.1   5.0   4   0   0   4   4   1   1 | SP+TM
VITVvi_vZin03_v1.1_P182.ver1.0.g297940.p01         -          LRR_6                PF13516.12   0.00081   18.3  14.0      0.14   11.4   0.3   5.3   5   0   0   5   5   2   1 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354400.p01         -          LRR_6                PF13516.12   0.00081   18.3   1.2        13    5.3   0.1   4.9   5   0   0   5   5   2   0 | TM
VITVvi_vZin03_v1.1_P152.ver1.0.g270960.p01         -          LRR_6                PF13516.12   0.00082   18.3  73.8     0.064   12.4   0.1  18.1  22   0   0  22  22   4   2 | TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064950.p01 -          LRR_6                PF13516.12   0.00085   18.3  62.6      0.87    8.9   0.1  17.2  21   0   0  21  21   3   0 | SP+TM
VITVvi_vZin03_v1.1_P214.ver1.0.g323840.p01         -          LRR_6                PF13516.12   0.00088   18.2  13.6      0.21   10.8   0.7   6.5   7   0   0   7   7   2   1 | SP
VITVvi_vZin03_v1.1_P14.ver1.0.g256040.p01          -          LRR_6                PF13516.12   0.00089   18.2   7.9      0.39   10.0   0.3   4.0   4   0   0   4   4   2   1 | SP+TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497560.p01          -          LRR_6                PF13516.12    0.0009   18.2 207.6      0.62    9.3   0.5  35.0  36   1   1  37  37  12   0 | SP+TM
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040810.p01 -          LRR_6                PF13516.12   0.00091   18.2   2.6         1    8.7   0.7   2.9   2   0   0   2   2   2   0 | SP+TM
VITVvi_vZin03_v1.1_P13.ver1.0.g245140.p01          -          LRR_6                PF13516.12   0.00092   18.2   8.9        24    4.4   0.3   6.6   7   0   0   7   7   0   0 | TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327880.p01          -          LRR_6                PF13516.12   0.00095   18.1   0.3     0.012   14.7   0.1  24.7  28   0   0  28  28   5   2 | SP
VITVvi_vZin03_v1.1_P32.ver1.0.g377400.p01          -          LRR_6                PF13516.12   0.00098   18.1  32.2       3.3    7.1   0.1  11.2  12   0   0  12  12   3   0 | TM
VITVvi_vZin03_v1.1_P85.ver1.0.g511330.p01          -          LRR_6                PF13516.12   0.00098   18.1  11.5       1.2    8.4   0.2   5.5   5   0   0   5   5   2   0 | TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411810.p01          -          LRR_6                PF13516.12    0.0011   18.0  82.2       1.1    8.5   0.1  20.2  23   0   0  23  23   6   0 | SP+TM
VITVvi_vZin03_v1.1_P423.ver1.0.g421190.p01         -          LRR_6                PF13516.12    0.0011   17.9   0.3     0.013   14.6   0.1  24.6  28   0   0  28  28   6   2 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353500.p01         -          LRR_6                PF13516.12    0.0012   17.8  33.3        14    5.1   0.1  12.4  14   0   0  14  14   1   0 | SP
VITVvi_vZin03_v1.1_H000012F_011.ver1.0.g038790.p01 -          LRR_6                PF13516.12    0.0012   17.8  26.4      0.67    9.2   0.1   7.9   8   0   0   8   8   2   0 | SP
VITVvi_vZin03_v1.1_P87.ver1.0.g516360.p01          -          LRR_6                PF13516.12    0.0012   17.8 103.1     0.082   12.1   0.1  21.4  27   1   0  27  27   9   2 | SP+TM
VITVvi_vZin03_v1.1_P113.ver1.0.g227580.p01         -          LRR_6                PF13516.12    0.0012   17.8  22.4      0.14   11.3   0.6   6.5   6   0   0   6   6   3   1 | SP+TM
VITVvi_vZin03_v1.1_P259.ver1.0.g346070.p01         -          LRR_6                PF13516.12    0.0013   17.7  81.3      0.73    9.1   0.1  18.7  21   1   1  22  22   7   0 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516380.p01          -          LRR_6                PF13516.12    0.0013   17.7  37.9      0.58    9.4   0.0   9.1  10   0   0  10  10   4   1 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g254180.p01          -          LRR_6                PF13516.12    0.0013   17.7   3.2      0.63    9.3   0.3   4.0   3   0   0   3   3   1   0 | SP+TM
VITVvi_vZin03_v1.1_H000230F_001.ver1.0.g175070.p01 -          LRR_6                PF13516.12    0.0013   17.7  52.0      0.38   10.0   0.4  12.0  13   0   0  13  13   4   1 | TM
VITVvi_vZin03_v1.1_P34.ver1.0.g385100.p01          -          LRR_6                PF13516.12    0.0014   17.6   8.9        16    4.9   0.1   7.0   8   0   0   8   8   0   0 | SP+TM
VITVvi_vZin03_v1.1_H000040F_001.ver1.0.g075530.p01 -          LRR_6                PF13516.12    0.0014   17.6   8.9        16    4.9   0.1   7.0   8   0   0   8   8   0   0 | SP+TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076970.p01 -          LRR_6                PF13516.12    0.0014   17.6   0.2       7.4    6.0   0.1   3.7   3   0   0   3   3   1   0 | TM
VITVvi_vZin03_v1.1_H000286F_002.ver1.0.g184300.p01 -          LRR_6                PF13516.12    0.0014   17.6  23.5      0.32   10.2   0.2   8.6  10   0   0  10  10   2   1 | TM
VITVvi_vZin03_v1.1_P7.ver1.0.g490480.p01           -          LRR_6                PF13516.12    0.0015   17.5  21.7         1    8.7   0.5   7.9   9   0   0   9   9   3   0 | SP
VITVvi_vZin03_v1.1_P22.ver1.0.g327470.p01          -          LRR_6                PF13516.12    0.0015   17.5 108.9      0.03   13.5   0.2  22.6  26   0   0  26  26   5   2 | SP+TM
VITVvi_vZin03_v1.1_P478.ver1.0.g436530.p01         -          LRR_6                PF13516.12    0.0015   17.5   4.1      0.34   10.1   0.1   3.8   4   0   0   4   4   2   1 | TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345160.p01         -          LRR_6                PF13516.12    0.0016   17.4  31.0       2.2    7.6   0.1   7.6   8   0   0   8   8   4   0 | TM
VITVvi_vZin03_v1.1_P224.ver1.0.g329680.p01         -          LRR_6                PF13516.12    0.0017   17.4  24.3      0.31   10.3   0.2   8.6  10   0   0  10  10   2   1 | TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076380.p01 -          LRR_6                PF13516.12    0.0017   17.4   8.9     0.032   13.3   0.6   4.0   4   0   0   4   4   2   1 | SP+TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390010.p01          -          LRR_6                PF13516.12    0.0017   17.4   8.9     0.032   13.3   0.6   4.0   4   0   0   4   4   2   1 | SP+TM
VITVvi_vZin03_v1.1_P155.ver1.0.g274380.p01         -          LRR_6                PF13516.12    0.0017   17.3   9.8        24    4.4   0.2   7.2   7   0   0   7   7   0   0 | SP
VITVvi_vZin03_v1.1_H000286F_001.ver1.0.g184240.p01 -          LRR_6                PF13516.12    0.0017   17.3  20.0     0.029   13.5   0.3   5.9   6   0   0   6   6   2   1 | SP
VITVvi_vZin03_v1.1_P67.ver1.0.g483450.p01          -          LRR_6                PF13516.12    0.0019   17.2  66.4      0.88    8.9   0.0  17.2  19   0   0  19  19   5   0 | SP
VITVvi_vZin03_v1.1_P453.ver1.0.g429260.p01         -          LRR_6                PF13516.12    0.0019   17.2  18.5       2.7    7.3   0.7   7.8   9   0   0   9   9   2   0 | TM
VITVvi_vZin03_v1.1_H000012F_018.ver1.0.g039950.p01 -          LRR_6                PF13516.12    0.0019   17.2   8.9        27    4.2   0.3   6.5   7   0   0   7   7   0   0 | TM
VITVvi_vZin03_v1.1_P516.ver1.0.g449990.p01         -          LRR_6                PF13516.12     0.002   17.1  30.1       1.2    8.5   0.1   8.4   8   0   0   8   8   4   0 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256020.p01          -          LRR_6                PF13516.12     0.002   17.1   6.5      0.36   10.1   0.3   3.4   3   0   0   3   3   2   1 | SP+TM
VITVvi_vZin03_v1.1_H000053F_010.ver1.0.g093370.p01 -          LRR_6                PF13516.12    0.0023   16.9   6.3       7.3    6.0   0.0   5.5   6   0   0   6   6   2   0 | SP
VITVvi_vZin03_v1.1_P52.ver1.0.g450870.p01          -          LRR_6                PF13516.12    0.0023   16.9   6.3       7.3    6.0   0.0   5.5   6   0   0   6   6   2   0 | SP
VITVvi_vZin03_v1.1_P22.ver1.0.g327500.p01          -          LRR_6                PF13516.12    0.0024   16.9  89.1      0.26   10.5   0.8  19.6  22   0   0  22  22   6   1 | TM
VITVvi_vZin03_v1.1_H000165F_007.ver1.0.g156210.p01 -          LRR_6                PF13516.12    0.0024   16.9  13.5       9.5    5.6   0.4   7.4   7   0   0   7   7   1   0 | SP+TM
VITVvi_vZin03_v1.1_P131.ver1.0.g246520.p01         -          LRR_6                PF13516.12    0.0024   16.9  13.5       9.5    5.6   0.4   7.4   7   0   0   7   7   1   0 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g253590.p01          -          LRR_6                PF13516.12    0.0025   16.8  54.5      0.23   10.7   0.9  13.2  13   0   0  13  13   3   2 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162490.p01 -          LRR_6                PF13516.12    0.0025   16.8  68.8      0.28   10.4   0.0  17.7  22   0   0  22  22   3   1 | SP+TM
VITVvi_vZin03_v1.1_P171.ver1.0.g289380.p01         -          LRR_6                PF13516.12    0.0026   16.8  47.5       3.3    7.0   0.1  13.1  14   0   0  14  14   4   0 | TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390570.p01          -          LRR_6                PF13516.12    0.0026   16.7   0.2       9.6    5.6   0.1   3.7   3   0   0   3   3   1   0 | SP+TM
VITVvi_vZin03_v1.1_P397.ver1.0.g402950.p01         -          LRR_6                PF13516.12    0.0029   16.6  10.3      0.12   11.5   0.1   5.1   5   0   0   5   5   1   1 | SP
VITVvi_vZin03_v1.1_H000043F_008.ver1.0.g080940.p01 -          LRR_6                PF13516.12    0.0029   16.6  47.7       1.1    8.6   0.1  14.1  18   0   0  18  18   3   0 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g309650.p01           -          LRR_6                PF13516.12    0.0031   16.5  42.5      0.18   11.0   0.2  11.6  13   0   0  13  13   3   1 | SP+TM
VITVvi_vZin03_v1.1_P658.ver1.0.g481470.p01         -          LRR_6                PF13516.12    0.0031   16.5  48.8     0.095   11.9   0.0  13.6  16   0   0  16  16   4   1 | TM
VITVvi_vZin03_v1.1_P98.ver1.0.g532800.p01          -          LRR_6                PF13516.12    0.0031   16.5   7.0       2.8    7.3   0.0   4.9   5   0   0   5   5   2   0 | SP
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053780.p01 -          LRR_6                PF13516.12    0.0033   16.4   2.7     0.038   13.1   0.1  22.5  26   0   0  26  26   4   2 | SP+TM
VITVvi_vZin03_v1.1_P341.ver1.0.g385630.p01         -          LRR_6                PF13516.12    0.0033   16.4   7.0       2.8    7.3   0.0   4.9   5   0   0   5   5   2   0 | SP
VITVvi_vZin03_v1.1_P272.ver1.0.g353600.p01         -          LRR_6                PF13516.12    0.0035   16.4  24.4       4.7    6.6   0.1   9.4  11   0   0  11  11   3   0 | SP
VITVvi_vZin03_v1.1_H000146F_005.ver1.0.g148610.p01 -          LRR_6                PF13516.12    0.0035   16.4  64.7       1.3    8.3   0.1  18.3  22   0   0  22  22   4   0 | TM
VITVvi_vZin03_v1.1_P133.ver1.0.g248510.p01         -          LRR_6                PF13516.12    0.0035   16.4  12.2       2.3    7.6   0.0   6.0   7   0   0   7   7   2   0 | SP+TM
VITVvi_vZin03_v1.1_P409.ver1.0.g413660.p01         -          LRR_6                PF13516.12    0.0035   16.4  64.4      0.49    9.7   0.1  14.9  17   0   0  17  17   5   1 | SP+TM
VITVvi_vZin03_v1.1_P288.ver1.0.g360900.p01         -          LRR_6                PF13516.12    0.0036   16.3   3.8      0.59    9.4   0.0   4.4   3   0   0   3   3   1   1 | TM
VITVvi_vZin03_v1.1_H000080F_012.ver1.0.g115650.p01 -          LRR_6                PF13516.12    0.0037   16.3  71.5      0.43    9.8   0.6  18.7  21   0   0  21  21   2   1 | SP+TM
VITVvi_vZin03_v1.1_P161.ver1.0.g281210.p01         -          LRR_6                PF13516.12    0.0039   16.2   3.7       1.2    8.4   0.3   2.9   3   0   0   3   3   2   0 | TM
VITVvi_vZin03_v1.1_P231.ver1.0.g335270.p01         -          LRR_6                PF13516.12    0.0039   16.2   3.7       1.2    8.4   0.3   2.9   3   0   0   3   3   2   0 | TM
VITVvi_vZin03_v1.1_P150.ver1.0.g269620.p01         -          LRR_6                PF13516.12    0.0043   16.1   2.1       3.4    7.0   0.1   4.6   4   0   0   4   4   1   0 | SP+TM
VITVvi_vZin03_v1.1_P225.ver1.0.g329790.p01         -          LRR_6                PF13516.12    0.0043   16.1  97.7      0.92    8.8   0.1  22.1  27   0   0  27  27   8   0 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338680.p01         -          LRR_6                PF13516.12    0.0043   16.1   8.4       2.3    7.5   0.1   3.7   4   0   0   4   4   3   0 | TM
VITVvi_vZin03_v1.1_H000028F_009.ver1.0.g066050.p01 -          LRR_6                PF13516.12    0.0044   16.0  36.2       4.3    6.7   0.3  12.8  14   0   0  14  14   1   0 | SP
VITVvi_vZin03_v1.1_P40.ver1.0.g410000.p01          -          LRR_6                PF13516.12    0.0045   16.0  47.8       1.1    8.6   0.1  14.1  18   0   0  18  18   3   0 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162420.p01 -          LRR_6                PF13516.12    0.0047   16.0  57.9      0.76    9.1   0.0  16.4  19   0   0  19  19   3   0 | SP+TM
VITVvi_vZin03_v1.1_P6.ver1.0.g471960.p01           -          LRR_6                PF13516.12     0.005   15.9  28.0       5.3    6.4   0.0   9.6  10   0   0  10  10   1   0 | TM
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020790.p01 -          LRR_6                PF13516.12     0.005   15.9  28.0       5.3    6.4   0.0   9.6  10   0   0  10  10   1   0 | TM
VITVvi_vZin03_v1.1_P440.ver1.0.g426490.p01         -          LRR_6                PF13516.12    0.0051   15.9  51.9     0.065   12.4   0.0  12.8  14   0   0  14  14   4   1 | TM
VITVvi_vZin03_v1.1_P689.ver1.0.g486520.p01         -          LRR_6                PF13516.12    0.0052   15.8   9.5         1    8.7   0.1   4.4   4   0   0   4   4   1   0 | TM
VITVvi_vZin03_v1.1_H000027F_009.ver1.0.g064000.p01 -          LRR_6                PF13516.12    0.0054   15.8  17.0      0.42    9.9   0.2   5.5   6   0   0   6   6   2   1 | TM
VITVvi_vZin03_v1.1_P4.ver1.0.g408120.p01           -          LRR_6                PF13516.12    0.0054   15.8  23.2       7.2    6.0   0.1   7.5   8   0   0   8   8   3   0 | SP+TM
VITVvi_vZin03_v1.1_P33.ver1.0.g380220.p01          -          LRR_6                PF13516.12    0.0057   15.7   4.9      0.61    9.4   0.1   3.6   3   0   0   3   3   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000208F_004.ver1.0.g170000.p01 -          LRR_6                PF13516.12    0.0059   15.7  22.6      0.46    9.7   0.1   6.6   7   0   0   7   7   2   1 | TM
VITVvi_vZin03_v1.1_P44.ver1.0.g426280.p01          -          LRR_6                PF13516.12    0.0061   15.6   8.4      0.66    9.3   0.1   5.7   5   0   0   5   5   1   0 | TM
VITVvi_vZin03_v1.1_H000146F_009.ver1.0.g148750.p01 -          LRR_6                PF13516.12    0.0062   15.6  37.9      0.57    9.5   0.0   8.8   9   0   0   9   9   3   1 | TM
VITVvi_vZin03_v1.1_P151.ver1.0.g270760.p01         -          LRR_6                PF13516.12    0.0064   15.5  69.5      0.66    9.2   0.0  17.8  22   0   0  22  22   4   0 | SP
VITVvi_vZin03_v1.1_P440.ver1.0.g426500.p01         -          LRR_6                PF13516.12    0.0068   15.5   9.2      0.48    9.7   0.0   4.5   4   0   0   4   4   1   1 | TM
VITVvi_vZin03_v1.1_P12.ver1.0.g233190.p01          -          LRR_6                PF13516.12    0.0071   15.4 103.5      0.46    9.7   0.3  20.1  23   0   0  23  23   8   2 | SP+TM
