#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_8                PF13855.12  7.5e-104  338.5 199.0     4e-09   35.1   5.0  26.2  18   8   7  26  26  25  21 | TM
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g113870.p01 -          LRR_8                PF13855.12     3e-34  115.6  71.5   1.8e-09   36.3   4.0   9.6   5   2   4  10  10   8   7 | SP+TM
VITVvi_vZin03_v1.1_P224.ver1.0.g329650.p01         -          LRR_8                PF13855.12   3.4e-34  115.4  81.6   6.2e-08   31.3   1.7   9.7   4   2   5  10  10   9   9 | SP+TM
VITVvi_vZin03_v1.1_H000286F_002.ver1.0.g184270.p01 -          LRR_8                PF13855.12   3.6e-34  115.4  80.1   6.2e-08   31.3   1.7   9.9   5   2   5  11  11  10   9 | SP+TM
VITVvi_vZin03_v1.1_P152.ver1.0.g271120.p01         -          LRR_8                PF13855.12   5.2e-34  114.9  90.4     3e-09   35.6   6.8  10.8   3   3  11  14  14  13  11 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364070.p01         -          LRR_8                PF13855.12   6.5e-34  114.5  53.0   6.1e-08   31.4   2.7  10.4   8   1   3  11  11  10   7 | SP+TM
VITVvi_vZin03_v1.1_P175.ver1.0.g291210.p01         -          LRR_8                PF13855.12   9.1e-34  114.1  66.2     1e-06   27.4   2.0  10.2   3   2   7  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353530.p01         -          LRR_8                PF13855.12   9.6e-34  114.0  78.7   8.5e-07   27.7   9.4  12.0   6   4   6  12  12  11  11 | SP
VITVvi_vZin03_v1.1_P291.ver1.0.g362520.p01         -          LRR_8                PF13855.12     1e-33  113.9  43.5   1.3e-11   43.1   1.4   6.3   2   2   3   6   6   6   6 | SP
VITVvi_vZin03_v1.1_P68.ver1.0.g484920.p01          -          LRR_8                PF13855.12   1.3e-33  113.5  70.2   2.8e-09   35.6   4.0   9.3   5   2   5  10  10   8   7 | SP+TM
VITVvi_vZin03_v1.1_P304.ver1.0.g372350.p01         -          LRR_8                PF13855.12   1.6e-33  113.3  58.5   2.4e-09   35.8   1.6   9.5   4   2   6  10  10  10   9 | SP+TM
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076670.p01 -          LRR_8                PF13855.12   3.4e-33  112.3  51.8   4.1e-08   31.9   4.4  10.2   6   4   4  10  10   7   7 | SP+TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390310.p01          -          LRR_8                PF13855.12   3.4e-33  112.3  51.8   4.1e-08   31.9   4.4  10.2   6   4   4  10  10   7   7 | SP+TM
VITVvi_vZin03_v1.1_P151.ver1.0.g270680.p01         -          LRR_8                PF13855.12   4.4e-33  111.9  71.9   7.8e-09   34.2   8.8  12.1   8   3   5  13  13  10   9 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162420.p01 -          LRR_8                PF13855.12   5.5e-33  111.6  69.5   2.9e-05   22.8   1.6  12.7   8   4   9  17  17  14  12 | SP+TM
VITVvi_vZin03_v1.1_P64.ver1.0.g479370.p01          -          LRR_8                PF13855.12   5.9e-33  111.5  62.7   3.6e-09   35.3   8.3  10.0   3   3   7  12  12  12   9 | SP+TM
VITVvi_vZin03_v1.1_P83.ver1.0.g509400.p01          -          LRR_8                PF13855.12   8.4e-33  111.0  42.5   8.8e-10   37.3   2.8   7.3   4   1   1   6   6   6   6 | SP+TM
VITVvi_vZin03_v1.1_P52.ver1.0.g450560.p01          -          LRR_8                PF13855.12   1.6e-32  110.1  72.7   1.8e-07   29.9   2.8   9.5   2   2   8  12  12  12  11 | SP+TM
VITVvi_vZin03_v1.1_P142.ver1.0.g259020.p01         -          LRR_8                PF13855.12   1.6e-32  110.1  72.7   1.8e-07   29.9   2.8   9.5   2   2   8  12  12  12  11 | SP+TM
VITVvi_vZin03_v1.1_H000051F_004.ver1.0.g090330.p01 -          LRR_8                PF13855.12   2.2e-32  109.6  54.3   8.9e-07   27.6   4.9   8.0   4   2   6  10  10   9   8 | SP+TM
VITVvi_vZin03_v1.1_H000023F_021.ver1.0.g057950.p01 -          LRR_8                PF13855.12   3.1e-32  109.2  19.7     3e-09   35.5   0.9   4.5   4   1   0   4   4   4   4 | SP
VITVvi_vZin03_v1.1_H000084F_006.ver1.0.g118410.p01 -          LRR_8                PF13855.12   3.6e-32  109.0  75.2   2.4e-10   39.1   5.2   6.6   3   3   6   9   9   9   8 | TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364100.p01         -          LRR_8                PF13855.12   4.3e-32  108.7  47.1   1.1e-08   33.7   1.8   9.8   7   3   2  10  10   9   6 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g253590.p01          -          LRR_8                PF13855.12   4.6e-32  108.6  62.8   1.1e-11   43.3   0.1   9.9   5   2   6  11  11  11   9 | SP+TM
VITVvi_vZin03_v1.1_P18.ver1.0.g295150.p01          -          LRR_8                PF13855.12   5.3e-32  108.4  76.3   1.7e-10   39.5   4.8  11.8   7   4   5  12  12  10  10 | SP
VITVvi_vZin03_v1.1_P2.ver1.0.g309650.p01           -          LRR_8                PF13855.12   5.5e-32  108.4  61.1   1.3e-08   33.5   8.9   9.8   6   2   4  10  10   8   7 | SP+TM
VITVvi_vZin03_v1.1_H000020F_010.ver1.0.g054480.p01 -          LRR_8                PF13855.12   8.5e-32  107.8  63.4   1.6e-07   30.0   5.7   7.2   4   2   3   7   7   7   7 | SP
VITVvi_vZin03_v1.1_H000186F_004.ver1.0.g163510.p01 -          LRR_8                PF13855.12   1.1e-31  107.4  84.1   6.3e-09   34.5   8.0  10.3   5   4   5  11  11  10   8 | TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491650.p01          -          LRR_8                PF13855.12   1.3e-31  107.2  67.5   5.2e-08   31.6   6.8   9.9   6   3   2   9   9   9   7 | SP
VITVvi_vZin03_v1.1_P24.ver1.0.g338310.p01          -          LRR_8                PF13855.12   1.8e-31  106.7  18.7   2.5e-09   35.8   0.9   4.3   4   0   0   4   4   4   4 | SP
VITVvi_vZin03_v1.1_H000027F_008.ver1.0.g063870.p01 -          LRR_8                PF13855.12   2.8e-31  106.1  48.4   9.5e-08   30.7   0.9   8.6   2   1  10  13  13  11  11 | TM
VITVvi_vZin03_v1.1_H000110F_013.ver1.0.g133630.p01 -          LRR_8                PF13855.12   3.1e-31  106.0  54.1   6.2e-07   28.1   0.2   8.1   6   1   1   8   8   7   6 | SP
VITVvi_vZin03_v1.1_P89.ver1.0.g519300.p01          -          LRR_8                PF13855.12   4.5e-31  105.4  54.6   1.7e-07   29.9   0.8   7.9   5   2   5  10  10   9   8 | SP
VITVvi_vZin03_v1.1_P477.ver1.0.g436510.p01         -          LRR_8                PF13855.12   5.5e-31  105.2  55.0   1.5e-05   23.7   2.7   9.9   5   2   7  12  12  12  11 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g410640.p01          -          LRR_8                PF13855.12   6.3e-31  105.0  50.4   2.2e-07   29.6   4.1   9.6   6   2   3  10  10   8   8 | SP+TM
VITVvi_vZin03_v1.1_P25.ver1.0.g343190.p01          -          LRR_8                PF13855.12   6.8e-31  104.9  56.8   8.9e-07   27.6   4.9   8.0   3   3   7  10  10   9   8 | SP+TM
VITVvi_vZin03_v1.1_H000033F_008.ver1.0.g070000.p01 -          LRR_8                PF13855.12   7.5e-31  104.7  81.5   2.2e-06   26.4   2.9  10.4   6   3   3  10  10   9   9 | SP+TM
VITVvi_vZin03_v1.1_P51.ver1.0.g449180.p01          -          LRR_8                PF13855.12   7.7e-31  104.7  81.5   2.2e-06   26.4   2.9  10.4   6   3   3  10  10   9   9 | SP+TM
VITVvi_vZin03_v1.1_H000043F_003.ver1.0.g079770.p01 -          LRR_8                PF13855.12   1.3e-30  103.9  50.6   2.4e-07   29.5   4.2   9.6   6   2   4  11  11   9   9 | SP+TM
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066700.p01 -          LRR_8                PF13855.12   1.5e-30  103.7  50.2   3.4e-08   32.2  10.1   6.2   4   2   1   6   6   5   5 | TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152810.p01 -          LRR_8                PF13855.12   1.5e-30  103.7  33.3   3.3e-10   38.6   0.2   5.9   2   1   3   5   5   5   5 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g411750.p01          -          LRR_8                PF13855.12   1.6e-30  103.7  68.8   4.9e-09   34.9   7.8  11.0   6   3   6  13  13  11   7 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453150.p01          -          LRR_8                PF13855.12   2.1e-30  103.3  45.6   1.1e-07   30.5   6.3   6.6   2   2   4   7   7   6   6 | SP+TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240540.p01         -          LRR_8                PF13855.12   2.1e-30  103.3  82.1   1.3e-08   33.5   8.7  10.2   5   4   5  10  10  10   8 | TM
VITVvi_vZin03_v1.1_P25.ver1.0.g342450.p01          -          LRR_8                PF13855.12   3.7e-30  102.5  47.4   1.4e-07   30.2   0.8   8.5   2   1  10  13  13  11  11 | TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225380.p01         -          LRR_8                PF13855.12   4.3e-30  102.3  33.9     8e-10   37.4   8.6   5.8   4   1   1   5   5   5   4 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453130.p01          -          LRR_8                PF13855.12     5e-30  102.1  33.3   3.1e-10   38.7   0.2   5.8   2   1   4   6   6   6   6 | SP+TM
VITVvi_vZin03_v1.1_P511.ver1.0.g449700.p01         -          LRR_8                PF13855.12   5.4e-30  102.0  65.1   1.1e-07   30.5   5.1   7.9   5   2   2   7   7   7   6 | TM
VITVvi_vZin03_v1.1_P199.ver1.0.g308780.p01         -          LRR_8                PF13855.12   6.1e-30  101.8  54.1   1.1e-07   30.5   3.3   7.9   6   2   2   8   8   6   6 | SP+TM
VITVvi_vZin03_v1.1_P551.ver1.0.g461030.p01         -          LRR_8                PF13855.12   8.2e-30  101.4  60.5   6.6e-07   28.1   7.3  10.6   6   4   4  11  11   9   9 | SP
VITVvi_vZin03_v1.1_H000139F_004.ver1.0.g144600.p01 -          LRR_8                PF13855.12   8.8e-30  101.3  19.5   1.2e-11   43.2   0.7   4.9   5   0   0   5   5   3   3 | SP
VITVvi_vZin03_v1.1_H000233F_004.ver1.0.g176610.p01 -          LRR_8                PF13855.12   1.1e-29  101.0  14.7   1.1e-12   46.6   1.5   5.0   3   1   1   5   5   4   3 | SP
VITVvi_vZin03_v1.1_P184.ver1.0.g299140.p01         -          LRR_8                PF13855.12   1.1e-29  101.0  14.7   1.1e-12   46.6   1.5   5.0   3   1   1   5   5   4   3 | SP
VITVvi_vZin03_v1.1_H000012F_008.ver1.0.g038430.p01 -          LRR_8                PF13855.12   1.3e-29  100.8  66.8   2.1e-06   26.4   3.6   8.0   4   2   5   9   9   9   8 | TM
VITVvi_vZin03_v1.1_H000012F_011.ver1.0.g038800.p01 -          LRR_8                PF13855.12   1.3e-29  100.8  66.8   2.1e-06   26.4   3.6   8.0   4   2   5   9   9   9   8 | TM
VITVvi_vZin03_v1.1_P689.ver1.0.g486500.p01         -          LRR_8                PF13855.12   1.4e-29  100.7  36.9   3.6e-06   25.7   5.9   7.7   3   1   6   9   9   9   8 | TM
VITVvi_vZin03_v1.1_P199.ver1.0.g308810.p01         -          LRR_8                PF13855.12   1.6e-29  100.5  54.6   2.3e-08   32.7   6.9   9.1   3   2   7  10  10   8   8 | TM
VITVvi_vZin03_v1.1_H000019F_008.ver1.0.g052710.p01 -          LRR_8                PF13855.12   1.7e-29  100.4  58.3   4.6e-07   28.5   5.2   9.4   6   3   6  12  12  11  10 | SP+TM
VITVvi_vZin03_v1.1_P32.ver1.0.g377400.p01          -          LRR_8                PF13855.12   1.8e-29  100.3  46.2     3e-09   35.5   5.5   6.6   5   2   2   7   7   6   5 | TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225360.p01         -          LRR_8                PF13855.12   2.2e-29  100.0  23.0   6.9e-09   34.4   0.1   5.8   3   2   2   6   6   4   4 | SP+TM
VITVvi_vZin03_v1.1_P125.ver1.0.g241040.p01         -          LRR_8                PF13855.12   2.3e-29  100.0  81.0   1.2e-06   27.2   4.0  10.1   3   3   6  11  11  10   8 | SP+TM
VITVvi_vZin03_v1.1_H000122F_003.ver1.0.g137770.p01 -          LRR_8                PF13855.12   2.6e-29   99.8  84.0   1.2e-06   27.2   4.0  10.2   3   3   6  11  11  10   8 | SP+TM
VITVvi_vZin03_v1.1_P595.ver1.0.g468130.p01         -          LRR_8                PF13855.12   2.9e-29   99.6  59.3   9.3e-13   46.8   4.8   7.6   5   2   5  10  10   7   7 | TM
VITVvi_vZin03_v1.1_P61.ver1.0.g474820.p01          -          LRR_8                PF13855.12   3.3e-29   99.4  66.4     2e-07   29.7   6.3   8.6   2   1   9  11  11  11  11 | TM
VITVvi_vZin03_v1.1_H000230F_001.ver1.0.g175090.p01 -          LRR_8                PF13855.12   3.4e-29   99.4  89.3   3.5e-08   32.1   5.3  10.7   3   3   9  12  12  12   9 | SP+TM
VITVvi_vZin03_v1.1_P19.ver1.0.g303210.p01          -          LRR_8                PF13855.12   3.4e-29   99.4  58.7   1.5e-05   23.7   2.7   9.8   3   3   8  12  12  12  11 | SP+TM
VITVvi_vZin03_v1.1_P112.ver1.0.g225320.p01         -          LRR_8                PF13855.12   4.6e-29   99.0  44.7   1.2e-07   30.5   2.9   6.2   3   2   5   8   8   7   7 | SP+TM
VITVvi_vZin03_v1.1_P119.ver1.0.g232300.p01         -          LRR_8                PF13855.12   4.9e-29   98.9  20.1   1.2e-11   43.2   0.7   5.1   5   1   1   6   6   3   3 | SP
VITVvi_vZin03_v1.1_P240.ver1.0.g338730.p01         -          LRR_8                PF13855.12     5e-29   98.9  46.8   2.8e-09   35.6   5.0   6.3   3   2   3   6   6   6   6 | TM
VITVvi_vZin03_v1.1_P110.ver1.0.g223860.p01         -          LRR_8                PF13855.12   5.6e-29   98.7  52.8   4.4e-07   28.6   8.6   9.1   3   3   6  10  10  10   7 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g452760.p01          -          LRR_8                PF13855.12   6.1e-29   98.6  38.3   1.1e-08   33.8   9.0   5.1   4   2   1   5   5   5   5 | SP
VITVvi_vZin03_v1.1_P279.ver1.0.g355750.p01         -          LRR_8                PF13855.12   6.6e-29   98.5  61.8   7.7e-08   31.0   5.1   8.2   1   1   9  11  11  11  10 | TM
VITVvi_vZin03_v1.1_P409.ver1.0.g413660.p01         -          LRR_8                PF13855.12   7.4e-29   98.4  84.1     3e-07   29.1   5.9   8.7   4   1   7  11  11  11  11 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162340.p01 -          LRR_8                PF13855.12   9.4e-29   98.0  57.1     3e-06   25.9   1.8  10.9   8   3   2  11  11   7   6 | SP
VITVvi_vZin03_v1.1_P405.ver1.0.g413070.p01         -          LRR_8                PF13855.12   1.1e-28   97.9  75.7   9.1e-07   27.6  11.0   7.1   3   2   5   8   8   8   8 | SP
VITVvi_vZin03_v1.1_P30.ver1.0.g370750.p01          -          LRR_8                PF13855.12   2.5e-28   96.7  45.9   2.5e-11   42.2   9.0   6.0   3   2   5   8   8   5   5 | SP+TM
VITVvi_vZin03_v1.1_P516.ver1.0.g449980.p01         -          LRR_8                PF13855.12   2.6e-28   96.6  24.8   3.7e-10   38.5   5.0   5.4   2   1   1   5   5   5   5 | SP
VITVvi_vZin03_v1.1_P368.ver1.0.g393030.p01         -          LRR_8                PF13855.12   3.7e-28   96.1  68.7   4.3e-09   35.0   7.6  10.0   4   4   8  12  12  11   7 | TM
VITVvi_vZin03_v1.1_P68.ver1.0.g485320.p01          -          LRR_8                PF13855.12   4.3e-28   95.9  54.7   5.7e-06   25.0   2.5   8.4   3   2   6   9   9   7   6 | SP
VITVvi_vZin03_v1.1_H000104F_007.ver1.0.g129350.p01 -          LRR_8                PF13855.12   5.7e-28   95.5  69.7   1.1e-07   30.5   6.1   8.8   3   1   3   9   9   9   7 | SP+TM
VITVvi_vZin03_v1.1_H000099F_005.ver1.0.g125720.p01 -          LRR_8                PF13855.12   6.2e-28   95.4  43.6   1.3e-06   27.1   0.9   7.0   3   3   5   8   8   8   8 | TM
VITVvi_vZin03_v1.1_P696.ver1.0.g487530.p01         -          LRR_8                PF13855.12   6.3e-28   95.4  20.4     1e-07   30.6   0.5   5.5   4   1   0   5   5   4   4 | SP
VITVvi_vZin03_v1.1_P124.ver1.0.g240610.p01         -          LRR_8                PF13855.12     7e-28   95.2  42.8   3.8e-09   35.2   0.3   7.6   6   2   2   8   8   7   6 | SP+TM
VITVvi_vZin03_v1.1_P4.ver1.0.g408120.p01           -          LRR_8                PF13855.12   7.3e-28   95.2  58.3   4.7e-10   38.1   6.2   5.4   1   1   5   6   6   5   5 | SP+TM
VITVvi_vZin03_v1.1_P75.ver1.0.g496630.p01          -          LRR_8                PF13855.12   7.5e-28   95.1  44.0   1.3e-06   27.1   0.9   6.7   3   3   4   8   8   8   8 | TM
VITVvi_vZin03_v1.1_P261.ver1.0.g348000.p01         -          LRR_8                PF13855.12   1.6e-27   94.1  20.3   1.2e-07   30.4   0.5   5.5   4   1   0   5   5   4   4 | TM
VITVvi_vZin03_v1.1_H000158F_001.ver1.0.g154420.p01 -          LRR_8                PF13855.12   2.1e-27   93.7  79.6   5.3e-08   31.6  11.0   8.9   6   2   3   9   9   7   7 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241650.p01         -          LRR_8                PF13855.12   2.1e-27   93.7  79.6   5.3e-08   31.6  11.0   8.9   6   2   3   9   9   7   7 | SP+TM
VITVvi_vZin03_v1.1_P714.ver1.0.g493080.p01         -          LRR_8                PF13855.12   2.4e-27   93.5  52.2   7.5e-09   34.3   5.5   7.2   5   2   1   7   7   6   5 | SP
VITVvi_vZin03_v1.1_P128.ver1.0.g242160.p01         -          LRR_8                PF13855.12   2.7e-27   93.4  14.3   8.8e-11   40.4   0.2   4.6   2   2   3   5   5   5   5 | SP
VITVvi_vZin03_v1.1_P88.ver1.0.g518050.p01          -          LRR_8                PF13855.12   3.6e-27   92.9  69.9   1.1e-07   30.5   6.1   8.8   3   1   3   9   9   9   7 | SP+TM
VITVvi_vZin03_v1.1_P123.ver1.0.g239770.p01         -          LRR_8                PF13855.12   5.3e-27   92.4  66.9   1.3e-08   33.5   2.5  11.1   6   4   5  12  12   8   7 | SP+TM
VITVvi_vZin03_v1.1_H000152F_005.ver1.0.g151320.p01 -          LRR_8                PF13855.12   6.1e-27   92.2  15.0   4.9e-08   31.7   0.2   5.0   2   2   3   5   5   5   5 | SP
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020790.p01 -          LRR_8                PF13855.12   7.1e-27   92.0  41.2   4.4e-08   31.8   7.0   5.5   3   1   2   5   5   5   5 | TM
VITVvi_vZin03_v1.1_P6.ver1.0.g471960.p01           -          LRR_8                PF13855.12   7.1e-27   92.0  41.2   4.4e-08   31.8   7.0   5.5   3   1   2   5   5   5   5 | TM
VITVvi_vZin03_v1.1_P36.ver1.0.g390290.p01          -          LRR_8                PF13855.12   8.3e-27   91.8  50.7   1.1e-05   24.1   0.5   8.3   6   2   3   9   9   7   6 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341390.p01         -          LRR_8                PF13855.12   8.7e-27   91.7  63.1   4.9e-07   28.5   4.6   9.5   6   3   3   9   9   8   6 | TM
VITVvi_vZin03_v1.1_P171.ver1.0.g289380.p01         -          LRR_8                PF13855.12     1e-26   91.5  53.9   2.9e-07   29.2   7.7   7.8   2   2   7   9   9   8   7 | TM
VITVvi_vZin03_v1.1_P677.ver1.0.g484540.p01         -          LRR_8                PF13855.12   1.2e-26   91.3  40.9   7.6e-09   34.2   4.8   7.1   5   1   2   7   7   6   4 | TM
VITVvi_vZin03_v1.1_H000104F_007.ver1.0.g129840.p01 -          LRR_8                PF13855.12   1.3e-26   91.2  58.9   1.3e-07   30.4   4.6   8.7   5   2   4  10  10   8   7 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338670.p01         -          LRR_8                PF13855.12   1.4e-26   91.0  42.0   1.3e-07   30.3   4.1   6.5   2   1   4   7   7   7   7 | SP
VITVvi_vZin03_v1.1_H000125F_002.ver1.0.g138380.p01 -          LRR_8                PF13855.12     2e-26   90.6  45.6     5e-10   38.0   6.6   4.7   3   1   2   5   5   5   5 | SP
VITVvi_vZin03_v1.1_P110.ver1.0.g224860.p01         -          LRR_8                PF13855.12     2e-26   90.6  45.6     5e-10   38.0   6.6   4.7   3   1   2   5   5   5   5 | SP
VITVvi_vZin03_v1.1_P298.ver1.0.g364010.p01         -          LRR_8                PF13855.12     2e-26   90.6  46.5   7.8e-06   24.6   4.2   8.7   4   2   3   9   9   6   6 | TM
VITVvi_vZin03_v1.1_P88.ver1.0.g518490.p01          -          LRR_8                PF13855.12   2.6e-26   90.2  59.4   1.3e-07   30.4   4.6   8.5   5   2   4  10  10   8   7 | SP+TM
VITVvi_vZin03_v1.1_H000008F_010.ver1.0.g029130.p01 -          LRR_8                PF13855.12   2.7e-26   90.1  49.8   2.2e-05   23.2   5.9   8.7   4   2   2   8   8   8   7 | TM
VITVvi_vZin03_v1.1_H000024F_012.ver1.0.g059030.p01 -          LRR_8                PF13855.12   3.4e-26   89.8  19.8   2.2e-06   26.4   0.1   6.0   1   1   5   7   7   7   7 | SP
VITVvi_vZin03_v1.1_P112.ver1.0.g225410.p01         -          LRR_8                PF13855.12   3.8e-26   89.7  40.2   1.9e-08   33.0   8.2   6.1   5   3   0   6   6   4   4 | SP+TM
VITVvi_vZin03_v1.1_P494.ver1.0.g441470.p01         -          LRR_8                PF13855.12   3.9e-26   89.6  33.8   2.4e-09   35.8   3.3   6.7   4   2   1   7   7   6   5 | TM
VITVvi_vZin03_v1.1_P9.ver1.0.g521000.p01           -          LRR_8                PF13855.12   5.1e-26   89.3  61.2   7.3e-06   24.7  11.6   9.6   4   2   4  11  11  10   9 | SP+TM
VITVvi_vZin03_v1.1_H000012F_008.ver1.0.g038420.p01 -          LRR_8                PF13855.12   5.8e-26   89.1  50.9   6.1e-07   28.1  14.0   6.6   2   2   6   8   8   8   8 | SP
VITVvi_vZin03_v1.1_P2.ver1.0.g309610.p01           -          LRR_8                PF13855.12   9.4e-26   88.4  30.0   2.9e-07   29.2   7.5   6.4   3   1   5   8   8   7   6 | SP
VITVvi_vZin03_v1.1_H000041F_010.ver1.0.g076650.p01 -          LRR_8                PF13855.12   9.6e-26   88.4  53.5   1.4e-05   23.8   0.7   8.2   6   2   2   8   8   7   6 | SP+TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345160.p01         -          LRR_8                PF13855.12   3.5e-25   86.6  34.3   1.7e-14   52.4   2.3   3.9   1   1   3   4   4   4   4 | TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364430.p01           -          LRR_8                PF13855.12   6.5e-25   85.7  39.2     1e-06   27.5   2.7   6.7   1   1   5   7   7   7   7 | SP
VITVvi_vZin03_v1.1_H000146F_009.ver1.0.g148750.p01 -          LRR_8                PF13855.12   8.3e-25   85.4  31.1     3e-06   26.0   0.5   5.6   6   0   0   6   6   5   5 | TM
VITVvi_vZin03_v1.1_H000095F_003.ver1.0.g124910.p01 -          LRR_8                PF13855.12   8.6e-25   85.3  44.0     1e-10   40.3   3.4   6.0   3   1   4   7   7   7   7 | TM
VITVvi_vZin03_v1.1_P7.ver1.0.g490480.p01           -          LRR_8                PF13855.12   9.1e-25   85.2  27.3   1.1e-08   33.7   0.4   4.5   3   1   0   4   4   4   4 | SP
VITVvi_vZin03_v1.1_P272.ver1.0.g353660.p01         -          LRR_8                PF13855.12   9.2e-25   85.2  44.1   2.7e-06   26.1   0.4   9.4   4   4   5   9   9   7   6 | SP+TM
VITVvi_vZin03_v1.1_H000816F_002.ver1.0.g198590.p01 -          LRR_8                PF13855.12   9.3e-25   85.2  51.9   3.1e-06   25.9   8.2   8.4   5   3   3   8   8   8   7 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453140.p01          -          LRR_8                PF13855.12   9.9e-25   85.1  37.5   1.8e-08   33.1   2.1   5.7   2   2   4   6   6   5   5 | SP+TM
VITVvi_vZin03_v1.1_H000230F_001.ver1.0.g175070.p01 -          LRR_8                PF13855.12     1e-24   85.1  57.0   4.8e-07   28.5   5.0   6.8   4   2   3   7   7   7   7 | TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152830.p01 -          LRR_8                PF13855.12     1e-24   85.1  39.7   1.6e-07   30.0   2.3   5.8   2   2   4   6   6   5   5 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516380.p01          -          LRR_8                PF13855.12   1.4e-24   84.6  33.1   2.5e-06   26.2   0.7   5.8   5   1   1   6   6   5   5 | TM
VITVvi_vZin03_v1.1_P830.ver1.0.g509660.p01         -          LRR_8                PF13855.12   1.4e-24   84.6  26.3   1.1e-08   33.7   0.4   4.5   3   1   0   4   4   4   4 | SP
VITVvi_vZin03_v1.1_P287.ver1.0.g360850.p01         -          LRR_8                PF13855.12   1.7e-24   84.4  43.9   6.3e-11   40.9   2.6   6.1   3   1   3   6   6   6   6 | SP+TM
VITVvi_vZin03_v1.1_H000039F_008.ver1.0.g075100.p01 -          LRR_8                PF13855.12   1.9e-24   84.2  56.1   1.2e-05   24.0   0.4   9.1   3   3   5   9   9   9   7 | TM
VITVvi_vZin03_v1.1_P122.ver1.0.g239360.p01         -          LRR_8                PF13855.12     2e-24   84.2  66.3   5.3e-06   25.1   5.6   9.6   3   2   8  12  12  11   9 | SP
VITVvi_vZin03_v1.1_P140.ver1.0.g257870.p01         -          LRR_8                PF13855.12   2.4e-24   83.9  55.3     3e-06   25.9   6.4   7.6   2   1   7  10  10   9   9 | SP+TM
VITVvi_vZin03_v1.1_H000150F_006.ver1.0.g150270.p01 -          LRR_8                PF13855.12   2.6e-24   83.8  32.0   3.5e-08   32.1   4.3   5.3   3   2   2   5   5   5   5 | SP
VITVvi_vZin03_v1.1_P122.ver1.0.g238800.p01         -          LRR_8                PF13855.12   2.6e-24   83.8  32.0   3.5e-08   32.1   4.3   5.3   3   2   2   5   5   5   5 | SP
VITVvi_vZin03_v1.1_P140.ver1.0.g257840.p01         -          LRR_8                PF13855.12   2.7e-24   83.7  41.2   3.9e-09   35.2   2.5   9.1   8   1   0   9   9   5   3 | SP+TM
VITVvi_vZin03_v1.1_P366.ver1.0.g392730.p01         -          LRR_8                PF13855.12   3.4e-24   83.4  37.8   6.3e-10   37.7   0.7   6.2   3   2   1   5   5   5   4 | SP
VITVvi_vZin03_v1.1_P298.ver1.0.g364110.p01         -          LRR_8                PF13855.12   6.3e-24   82.6  45.5   1.5e-06   26.9   3.0   8.5   4   2   7  11  11   8   8 | TM
VITVvi_vZin03_v1.1_P286.ver1.0.g360560.p01         -          LRR_8                PF13855.12     1e-23   81.9  61.5   4.5e-06   25.4   0.4   9.4   6   3   3  10  10   7   6 | SP
VITVvi_vZin03_v1.1_P365.ver1.0.g392600.p01         -          LRR_8                PF13855.12   1.1e-23   81.8  31.8   4.8e-12   44.5   2.0   6.4   5   2   2   7   7   5   4 | SP+TM
